ccn_conc,ccn_sursaturation,datetime,pollution_flag,ccn_flag
266.913,0.1,2023-02-01 19:51:54,0.0,0.0
241.134,0.1,2023-02-01 19:51:55,0.0,0.0
231.902,0.1,2023-02-01 19:51:56,0.0,0.0
157.923,0.1,2023-02-01 19:51:57,0.0,0.0
146.949,0.1,2023-02-01 19:51:58,0.0,0.0
73.368,0.1,2023-02-01 19:51:59,0.0,0.0
79.414,0.1,2023-02-01 19:52:00,0.0,0.0
141.724,0.1,2023-02-01 19:52:01,0.0,0.0
160.859,0.1,2023-02-01 19:52:02,0.0,0.0
236.168,0.1,2023-02-01 19:52:03,0.0,0.0
189.886,0.1,2023-02-01 19:52:04,0.0,0.0
214.007,0.1,2023-02-01 19:52:05,0.0,0.0
240.423,0.1,2023-02-01 19:52:06,0.0,0.0
272.567,0.1,2023-02-01 19:52:07,0.0,0.0
224.198,0.1,2023-02-01 19:52:08,0.0,0.0
206.608,0.1,2023-02-01 19:52:09,0.0,0.0
145.911,0.1,2023-02-01 19:52:10,0.0,0.0
156.475,0.1,2023-02-01 19:52:11,0.0,0.0
93.159,0.1,2023-02-01 19:52:12,0.0,0.0
93.847,0.1,2023-02-01 19:52:13,0.0,0.0
134.63,0.1,2023-02-01 19:52:14,0.0,0.0
112.463,0.1,2023-02-01 19:52:15,0.0,0.0
145.811,0.1,2023-02-01 19:52:16,0.0,0.0
192.509,0.1,2023-02-01 19:52:17,0.0,0.0
214.423,0.1,2023-02-01 19:52:18,0.0,0.0
219.679,0.1,2023-02-01 19:52:19,0.0,0.0
233.261,0.1,2023-02-01 19:52:20,0.0,0.0
235.923,0.1,2023-02-01 19:52:21,0.0,0.0
199.078,0.1,2023-02-01 19:52:22,0.0,0.0
182.142,0.1,2023-02-01 19:52:23,0.0,0.0
170.649,0.1,2023-02-01 19:52:24,0.0,0.0
149.551,0.1,2023-02-01 19:52:25,0.0,0.0
101.657,0.1,2023-02-01 19:52:26,0.0,0.0
127.276,0.1,2023-02-01 19:52:27,0.0,0.0
162.989,0.1,2023-02-01 19:52:28,0.0,0.0
146.681,0.1,2023-02-01 19:52:29,0.0,0.0
154.811,0.1,2023-02-01 19:52:30,0.0,0.0
148.982,0.1,2023-02-01 19:52:31,0.0,0.0
191.341,0.1,2023-02-01 19:52:32,0.0,0.0
137.47,0.1,2023-02-01 19:52:33,0.0,0.0
170.131,0.1,2023-02-01 19:52:34,0.0,0.0
