ccn_sursaturation,pollution_flag,datetime,ccn_flag,ccn_conc
0.5,0.0,2024-02-10 00:00:05,0.0,239.369
0.5,0.0,2024-02-10 00:00:12,0.0,274.977
0.5,0.0,2024-02-10 00:00:13,0.0,274.21
0.5,0.0,2024-02-10 00:00:15,0.0,294.756
0.5,0.0,2024-02-10 00:00:16,0.0,254.869
0.5,0.0,2024-02-10 00:00:17,0.0,268.657
0.5,0.0,2024-02-10 00:00:18,0.0,284.605
0.5,0.0,2024-02-10 00:00:19,0.0,260.051
0.5,0.0,2024-02-10 00:00:20,0.0,293.382
0.5,0.0,2024-02-10 00:00:21,0.0,321.725
0.5,0.0,2024-02-10 00:00:22,0.0,287.844
0.5,0.0,2024-02-10 00:00:23,0.0,266.555
0.5,0.0,2024-02-10 00:00:24,0.0,249.979
0.5,0.0,2024-02-10 00:00:25,0.0,261.177
0.5,0.0,2024-02-10 00:00:26,0.0,285.681
0.5,0.0,2024-02-10 00:00:27,0.0,314.707
0.5,0.0,2024-02-10 00:00:28,0.0,290.119
0.5,0.0,2024-02-10 00:00:29,0.0,265.998
